User,Date,Tweet Text,Compound,Positive,Neutral,Negative,Tweets Ago
@BBCNews,Thu Oct 18 01:18:59 +0000 2018,Why more young people are using Crimestoppers https://t.co/OKiAvCnyXc,0.0,0.0,1.0,0.0,0
@BBCNews,Thu Oct 18 01:04:28 +0000 2018,Central African Republic: 'Why a grenade couldn't stop our music' https://t.co/Es8eqwrPnk,0.2235,0.173,0.827,0.0,1
@BBCNews,Thu Oct 18 00:59:59 +0000 2018,Healthcare in US: The big election issue that's not Trump https://t.co/EMBF2HaTmU,0.0,0.0,1.0,0.0,2
@BBCNews,Thu Oct 18 00:48:41 +0000 2018,In pictures: Army Photographic Competition 2018 https://t.co/2CV9YrE0YH,0.0,0.0,1.0,0.0,3
@BBCNews,Thu Oct 18 00:14:29 +0000 2018,Firms defy pressure over Saudi conference https://t.co/0I6njAQ5Sj,-0.296,0.0,0.732,0.268,4
@BBCNews,Wed Oct 17 23:35:27 +0000 2018,Cypriot budget airline Cobalt has suspended operations https://t.co/fLAeYAQ5Ey,-0.4767,0.0,0.693,0.307,5
@BBCNews,Wed Oct 17 23:00:31 +0000 2018,"'Brextra time!"" and 'sex care scandal' https://t.co/Z7Vk2GA8MS",0.1511,0.307,0.439,0.255,6
@BBCNews,Wed Oct 17 22:47:03 +0000 2018,EBay files lawsuit against Amazon over 'seller recruitment' https://t.co/ttSh7AO7lr,-0.0516,0.16,0.66,0.179,7
@BBCNews,Wed Oct 17 22:21:57 +0000 2018,"The good, the bad and the ugly for Theresa May https://t.co/OTBIKeUTuA",-0.5994,0.164,0.452,0.384,8
@BBCNews,Wed Oct 17 21:36:12 +0000 2018,"Thursday’s Guardian: ""Brexit deadlock as May ‘offers no new ideas’ at EU summit"" #bbcpapers #tomorrowspaperstoday (… https://t.co/AtGt1f4opT",-0.5574,0.0,0.765,0.235,9
@BBCNews,Wed Oct 17 21:35:52 +0000 2018,"Thursday’s Times: ""Autistic woman ‘pimped out’ in care scandal"" #bbcpapers #tomorrowspaperstoday (via @AllieHBNews) https://t.co/loF5Bmzp5R",0.0772,0.177,0.663,0.16,10
